job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function.,fraudulent
13139,Principal Engineer,"US, TX, Houston",,,"Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.","Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureIn January 2013, Aker Solutions acquired Enovate Systems Ltd, a leading technology company focussed on subsea well control equipment. Creating solutions that allow our customers to operate in safer, more effective ways, Enovate is a dynamic and exciting part of the Aker Solutions group. We are looking for talented and ambitious team members who can help Enovate to take the next step in its journey of growth.Responsibilities and tasksPrepare the technical content of fixed price bids, budgetary bids and studies including clarification to technical tenders. Prepare technical content for R&amp;D Business CasesAct as technical authority for Enovate ProductsSupport Engineering functions within the departmentAssist in Training &amp; Development of the Engineering TeamThe Principal Engineer may meet and present technical solution to clients and represent the company.Review Client Specifications, to ensure products are suitable for application.Raise exceptions to client specifications where products do not comply.Co-ordinate during tender for specialist area to ensure system engineer knows which items require qualification or current TRL Select ""standard"" products to suit system solution provided by client.Liaise with Management Team to ensure non-qualified products are suitable with current planned developments.Allocate timescale and engineering hours to tenders and studies.Compile technical datasheets where no current datasheet exists for inclusion in tender/study.Liaise with discipline Engineers to see current best practice.Assist client to ensure optimum system solutions will work with current product or proposed productsAssist Sales engineer in preparing responses to bid clarifications from clientsAssist sales engineer in study work received by the department.Ensure that the Project Execution Model Execution part is correctly utilised on projects.Mentor Engineers in their day to day work.Additionally, when workload demands, the job holder may be assigned other duties as defined by the Manager.Respond to tasking requests and reporting progress to the Engineering Manager.Scheduling of work to appropriate team members in consultation with Engineering Manager.Supervising the timely issue of analysis reports for the Analysis discipline.Handling or supervising discipline specific external &amp; internal communications.Familiarity and compliance with company procedures, project specifications and statutory regulations so that a standard approach to design is adopted whilst satisfying customer requirements.Supervising the Completion of tasks within agreed time scales &amp; budgets, reporting status &amp; deviations to the Engineering Manager.Ensure team documents are fit for purpose and meet all client requirements.Awareness of lessons learnt from all previous company projects &amp; implementation.When required to provide support to sites within US or internationally.Assisting in defining and developing processes &amp; procedures.In addition to the duties listed, the jobholder is required to perform other duties assigned by the manager from time to time.Comply with the Enovate Systems QHSE Management Systems, including QHSE Policies and Procedures.Work in accordance with the information and training provided and not undertake any task for which authorisation and/or training has not been given.Take reasonable care to prevent harm to themselves and consider the potential for harm to others or the environment that may be caused by their acts or omissions.Report any hazardous defects in plant, equipment and workplace, or shortcomings in the existing controls, to a responsible person without delayRefrain from intentionally misusing or recklessly interfering with anything that has been provided for Health, Safety and/or Environmental reasons.Dispose of waste using the correct waste streams and avoid energy waste.Comply with and be bound by Enovate Systems Employee Code of Conduct, Equality &amp; Diversity and Intellectual Property Policies.","Qualifications &amp; personal attributes Degree or HND/HNC and professional experience in a relevant discipline preferredWorking knowledge of Microsoft Office software or equivalent business softwareKnowledge of specialist area of valve systemsCEng or working towards Chartered Engineer Status desirableKnowledge of subsea production systemProficient in Microsoft Windows, Outlook, Word, Excel and PowerpointAbility to solve and come up with well thought practical solutionsProvide best solutions in terms of quality and costBe a self-starter in order to achieve tasks and overcome problems as well as provide direction for othersHigh regard for attention to detailCreate a culture of continuous improvementEncourage a high level of performance in self and othersDevelop networks and identify resources as and when necessaryGood communication and presentation skills",We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.,0,1,0,Full-time,,,Oil & Energy,Engineering,1
2978,Administrative Assistant/Customer Service,"US, CA, San diego",Account/finance,60000-80000,,"We have Entry Level and Experienced Level positions available! Job Purpose: Maintains database by entering new and updated customer and account information. Utilizing your clerical and office experience, you will be a valuable member of our data entry team. Requirements: * Prepares source data for computer entry by compiling and sorting information; establishing entry priorities. * Processes customer and account source documents by reviewing data for deficiencies; resolving discrepancies by using standard procedures or returning incomplete documents to the team leader for resolution. * Enters customer and account data by inputting alphabetic and numeric information on keyboard or optical scanner according to screen format. * Maintains data entry requirements by following data program techniques and procedures. * Verifies entered customer and account data by reviewing, correcting, deleting, or reentering data; combining data from both systems when account information is incomplete; purging files to eliminate duplication of data. * Tests customer and account system changes and upgrades by inputting new data; reviewing output. * Secures information by completing data base backups. * Maintains operations by following policies and procedures; reporting needed changes. * Maintains customer confidence and protects operations by keeping information confidential. * Contributes to team effort by accomplishing related results as needed. Skills/Qualifications: Data Entry, Clerical Office, Organization, Typing, Data Entry Skills, Attention to Detail, Confidentiality, Thoroughness, Decision Making, Independence, Analyzing Information , Results Driven, Energy Level (send a copy of your resume to #EMAIL_eaf2ba300439c57f456cbed67d1cff9f45762c2138ad03595215012fd0e49ddd#)","Skills/Qualifications: Data Entry, Clerical Office, Organization, Typing, Data Entry Skills, Attention to Detail, Confidentiality, Thoroughness, Decision Making, Independence, Analyzing Information , Results Driven, Energy Level ","Benefits: Health, Dental, Life and AD&amp;D Insurance, Employee Wellness and 401k plans. Paid Time Off and Holidays with Generous Company Discounts .Emergency Reimbursement Benefits, Daily Hospital Benefit, Accidental Death Benefit, Travel Assistance",0,0,1,Full-time,Entry level,High School or equivalent,Accounting,Accounting/Auditing,1
9757,Property Preservation Field Crews,"US, MD, Rockville",,,,We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior," **NOTE: You must have the necessary tools for perform any of the above tasks**SUBJECT TO PASS A BACKGROUND CHECK** If you know how to perform WINTERIZATION in property is a plus. You must have a Digital Camera with to take photographs supporting work done. We also require the use of email. This work is time sensitive, so a strong work ethic is preferred. **NOTE: Please be sure to include your full name, the City where you are located at and phone number and email in order to be considered for the position.  If your name, phone #, and email are not in the response, your response will be deleted.  Thanks and we look forward to hearing from you!",As per job,0,0,0,Contract,,,Real Estate,,1
17514,Office Manager,"PL, MZ, Warsaw",,,,,,,0,0,0,,,,,,1
17828,Student Positions Part-Time and Full-Time.,"US, CA, Los Angeles",,,,"Student Positions Part-Time and Full-Time.You can do it all from home, in your free time, at your own place.Spend 30 minutes or 1 hours a day &amp; Get biggest cash.You can work in the morning, afternoon, or at night.Perfect for everyone then start immediately.Can earn $350 to $450 extra per day.No any experience required.Zero start-up fee, Visit here:-#URL_7ebe37f71633be1b80547d6f213cb0075a63b6ced35281bfa5c067b5c685f04c#-rg.info",,,0,0,0,Part-time,,,,,1
5299,Customer Assistant,"CA, AB, Calgary",,,"Inctor Consulting is world wide known for advising, and giving answers to some of the most difficult hurdles but providing the best advancement chances. Combined with a well known ""Think Tank"" of professionals, Inctor Consulting takes pride in keeping customers under its wing while helping them to expand their own business.","Duties:- Perform clerical tasks related to the efficient maintenance and processing of transactions from customers.- Receiving, processing, verifying, and reconciling invoices.- Maintains accounting records by making copies; filing documents.- Reviews orders for accuracy and completion.- Assists customers by taking orders and performing order entry.- Verifies customer information is correct and up-to-date.","Skills/Qualifications:- Attention to Detail.- PC Proficiency, Proficient with MS Word and Excel.- Ability to Multi-task.- Strong verbal and written communication skills.- Excellent Customer Service Skills.",Apply:To apply please send your Resume: #EMAIL_14d56537266f6fb7ccabafe3583b21dbd378544e5663cab82145d746b48a3a8a#,0,1,0,,,,,,1
6288,Production Engineer,"US, TX, Houston",Engineering,,,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions' Assembly and Test Engineering Team based in Houston is responsible for first level Engineering Support for our complex Subsea Control modules and peripheral equipment. As part of that support, the team are heavily involved in Cap Ex projects to enhance and improve our working practices and procedures within Manufacturing. We need an experienced Produduction Engineer with a multidisciplined background, andt someone who has a good understanding of process improvement, FMEA and Capital Expenditure Project delivery. This is a key role for this business area as we looked to develop the overall team in driving improvement to increase, yield, productivity and on-time delivery of our products.Responsibilities and tasks:• To map, perform gap analysis, and propose and implement improvements to existing manufacturing practices, processes, tooling and equipment, thereby improving quality and reducing lead times.• To perform scope feasibility, define specification, raise CapEx and project manage new production equipment and tooling. • To liaise with third party vendors on the specification, design and build of new tooling and equipment, and the modification of existing.• To create and/or support the creation of manufacturing process and equipment work/operating instructions. • To support the maintenance department in defining maintenance requirements for both new and existing tooling and equipment.• To provide support to other Aker company sites with regards to cross-site tooling and equipment, and process standardisation.• To work closely with all other engineering support departments on all areas of electro-mechanical / hydraulic engineering from initial concepts through to final build.• To support both Operations and Engineering in the issuing of method improvement statements.• To actively participate in all continuous improvement activities that support improvement in production and product build areas.• To support audit processes both internally and externally at vendors, customers or third party companies.",Qualifications &amp; personal attributes Time served Engineer with strong track record in delivering process improvement and Capital Expenditure Projects within an Engineering based organisation.,We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.,0,0,0,Full-time,,,Oil & Energy,Engineering,1
2137,Electrical Technician III,"US, TX, Houston",,,"Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.","Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future.The jobholder will support the Electronic / Electrical engineering group achieve their objectives within a quality critical and high reliability engineering/production environment. The jobholder will be responsible for ‘first level’ analysis to resolve system issues, failures and non-conformances within production and provide initial engineering support to rectify or escalate any issue in a timely manner. The jobholder will aid the Electronic / Electrical engineering group drive continuous improvement and perform root cause analysis of electronic printed circuit boards, systems, sub-assemblies and assemblies to component level. The jobholder will be responsible for ensuring technical conformance to specifications while ensuring all work is documented and performed in accordance with company procedures &amp; documentation. To carry out any other requirements needed to allow the company to operate efficiently.Responsibilities and tasks• To work in a safe manner at all times, to comply with all current safety legislation and Company safety policy.• To work at all times to the Company’s Quality Management System.• Evaluate and investigate electronic /electrical equipment &amp; systems, debug, repair to component level.• Action HALT, HASS and ESS testing to ensure reliability of electronic / electrical equipment used in harsh, extreme and safety critical environments • Assist the Engineers with enhanced/non-standard system test, engineering changes, process development, improvement of procedural documentation and NPI (New Product Introduction). • Support Operators/Technicians to improve quality awareness and aid standardization of processes while supporting the Electronic /Electrical group enhance overall system reliability and reduce system defects.• Demonstrate team working and ensure any work carried out by self is performed within schedule • Ensure that documentation is robust, concise, relevant and that quality systems are adhered to.• Ensure all calibrated equipment used within the build, test process is within calibration date and fully maintained for the work activities.• Ensure work area is maintained in a safe and tidy manner.• Play a pro-active role in housekeeping and continuous improvement initiatives.As necessary, perform other duties, requiring essentially the same level of skill &amp; responsibility, when required.",Qualifications &amp; personal attributesHNC in Electronic or Electrical Engineering.City &amp; Guilds or equivalent qualifications in electrical or electronic disciplineHave completed a recognised apprenticeship in an appropriate discipline,We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.,0,1,0,Full-time,,Master's Degree,Oil & Energy,Engineering,1
3948,Project Manager: Engineer,"US, CA, Bakersfield",Oil & Energy,,"Process Unlimited and Refined Resources have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!Please direct all communications to the HR Department within Refined Resources (#URL_481fc4262f0c07ace903481f1e036034d0bf128e0a91a2313344f34a26bca732#a).  #EMAIL_0b13a2cfd4718ce252c09b2353d692a73bd32552e922c5db6cad5fb7e9a2c6c3#Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#","We are a full-service engineering, project management, design and safety regulatory firm providing a wide array of services to support our client's specific project needs.Essential Duties and Responsibilities:* Develop budget and schedule in alignment with the scope.* Able to understand and comprehend the major process steps involved in the project.* Adequate knowledge in project deliverables like Process Flow Diagram, PID, Area classification drawing, electrical one line drawing, etc.* Able to develop the project execution plan.* Interface with the client and develop rapport.* Request appropriate resources to execute the project work.* Manage the project personnel.* Effective communication skills - with the client and inter discipline personnel within the company.* Project tracking/monitoring - budget and schedule with the help of project control personnel.* Perform engineering calculations to support the project* Follow and implement standard project procedures per ProU Project Procedure Manual* Ability to relate project drawings with field construction.* Soft skills to manage multidiscipline technical staff and promote team spirit to execute the project successfully.* Ability to control the quality of project deliverables.","Qualifications:Managed small to mid-size engineering projects.10 to 15+ years experience as a Mechanical, Chemical, or Process Engineer required.Five+ years experience as a Project Manager/Project Lead required.Oil &amp; Gas Upstream experience involving production surface facilities &amp; treatment (May have gas process plant experience).Familiarity with process industry standards and applicable codes like ASME, API, ANSI, NACE, etc.Must possess a minimum of a Bachelor's Degree in Mechanical or other Engineering field from an accredited university. Experience Preferred:PE registration in California preferred.PMP registration a plus.","What is Offered:* Clean, safe, enjoyable environment to work in with a great company culture that values work/life balance.* Competitive base rate + Incentives + Full Benefits Package + Retirement 401K 100% matched by company.* Relocation Assistance. * Signing Bonus.* Opportunity for Advancement.* Trips, outings, rafting trips, lunches, client appreciation get-togethers, company parties, great people, great culture!",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Oil & Energy,Project Management,1
17784,administrative assistant,"US, MD, Baltimore",admin,15-19,,"  Giromax technology  is currently looking for an Administrative Assistant to provide timely and accurate clerical support in a fast-paced office environment. Position involves dealing with managers and other office support positions. Basic duties involve photocopying, filing, answering phones, managing all incoming and outgoing mail, and composing letters, memos and proposals. Additional responsibilities include preparing daily/weekly/monthly/quarterly reports and setting up group meetings and conferences for managers and partners. All functions will be done in person, via phone, or e-mail.","-Some College-VERY Detail Oriented and well organized-Proficient in Microsoft Office Package (Word, Outlook, Powerpoint, and Excel)-Can learn quickly and retain the information (looking for a candiate that takes notes!)-Must be confident on the phone (with clients and underwriters)-Able to take direction &amp; instruction",Competitive pay &amp; benefitsExcellent on-boarding and on-going trainingAccrued paid time offTuition reimbursement for full-time employeesFree meal per shift,0,0,0,Full-time,Entry level,,Accounting,Administrative,1
